Bus Bandwidth Analysis Report

Connection bandwidth budget total: 0.0 KBytesps


Connection Budget Details for mode No Modes

Connection,Budget,Actual (Data Size * Sender Rate),Note
calculate.direction -> drive.direction, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
calculate.speed -> drive.speed, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
receive.queue -> queue_management.queue, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
queue_management.queue -> forward.queue, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.identification.mission_result -> mission_result_handler.text_results_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.identification.identification_control -> target_identification.identification_control, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.navigation.mission_result -> mission_result_handler.text_results_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.navigation.navigation_control -> navigation.calculate.nav_control, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.navigation.navigation_control -> navigation.drive.nav_control, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.operation.mission_result -> mission_result_handler.text_results_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
mission_controller.operation.operation_control -> target_operation.operation_control, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
battery_handler.battery.info_out -> system_controller.result.battery_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
media_handler.media.media_out -> target_identification.media_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
media_handler.media.media_out -> mission_result_handler.media_streaming_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
media_handler.media.media_out -> disk_handler.media_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
GPS_handler.sensor_GPS.data_out -> navigation.calculate.GPS_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
GPS_handler.sensor_GPS.data_out -> system_controller.result.GPS_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
navigation.calculate.nav_feedback -> mission_controller.navigation.navigation_feedback, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
navigation.drive.nav_feedback -> mission_controller.navigation.navigation_feedback, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
navigation.drive.motor_cmd -> motor_handler.motor_cmd.cmd_in, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
motor_handler.motor_cmd.signal_out -> motor_signal, 0.0 KBytesps,0.0 KBytesps,No bandwidth budget or actual
