Resource Budget Analysis Report

Summary

 in SystemMode default: MIPS capacity 60.000 MIPS : MIPS budget 19.700 MIPS
 in SystemMode default: 2 out of 2 with MIPS capacity
* In SystemMode default: 38 out of 42 with MIPS budget
Summary

 in SystemMode default: RAM capacity 768.000 MByte : RAM budget 168.000 MByte
 in SystemMode default: 2 out of 2 with RAM capacity
* In SystemMode default: 17 out of 42 with RAM budget
Summary

 in SystemMode default: ROM capacity 0.000 KByte : ROM budget 0.000 KByte
* In SystemMode default: 0 out of 2 with ROM capacity
* In SystemMode default: 0 out of 42 with ROM budget


Detailed Processor MIPS Capacity Report

Component,Capacity
processor CPU, 30.000 MIPS,
processor encoder, 30.000 MIPS,
Total, 60.000 MIPS,


Detailed MIPS Budget Report

Component,Budget,Actual,Notes
data space_hoder, 0.000 MIPS,0.000 MIPS,
*thread battery_handler.battery, *0.100 MIPS,*0.000 MIPS,
process battery_handler, 0.000 MIPS,0.100 MIPS,
*thread GPS_handler.sensor_GPS, *0.100 MIPS,*0.000 MIPS,
process GPS_handler, 0.000 MIPS,0.100 MIPS,
*thread radar_handler.radar, *0.100 MIPS,*0.000 MIPS,
process radar_handler, 0.000 MIPS,0.100 MIPS,
*data mission_handler.mission_queue, *0.000 MIPS,*0.000 MIPS,
*thread mission_handler.receive, *0.100 MIPS,*0.000 MIPS,
*thread mission_handler.queue_management, *0.500 MIPS,*0.000 MIPS,
*thread mission_handler.forward, *0.200 MIPS,*0.000 MIPS,
process mission_handler, 0.000 MIPS,0.800 MIPS,
*thread mission_splitter.mission_splitter, *1.000 MIPS,*0.000 MIPS,
process mission_splitter, 0.000 MIPS,1.000 MIPS,
*thread mission_result_mixer.mission_result_mixer, *1.000 MIPS,*0.000 MIPS,
process mission_result_mixer, 0.000 MIPS,1.000 MIPS,
*thread door_handler.door_cmd, *0.500 MIPS,*0.000 MIPS,
*thread door_handler.door_feedback, *0.500 MIPS,*0.000 MIPS,
process door_handler, 0.000 MIPS,1.000 MIPS,
*thread weight_handler.weight, *0.100 MIPS,*0.000 MIPS,
process weight_handler, 0.000 MIPS,0.100 MIPS,
*thread media_handler.media, *5.000 MIPS,*0.000 MIPS,
process media_handler, 0.000 MIPS,5.000 MIPS,
*thread system_controller.decision, *2.000 MIPS,*0.000 MIPS,
*thread system_controller.result, *1.000 MIPS,*0.000 MIPS,
process system_controller, 0.000 MIPS,3.000 MIPS,
*thread mission_result_handler.mission_result_handler, *1.000 MIPS,*0.000 MIPS,
process mission_result_handler, 0.000 MIPS,1.000 MIPS,
*thread navigation.calculate, *1.000 MIPS,*0.000 MIPS,
*thread navigation.drive, *1.000 MIPS,*0.000 MIPS,
process navigation, 0.000 MIPS,2.000 MIPS,
*thread status_handler.state_result_handler, *0.000 MIPS,*0.000 MIPS,
process status_handler, 0.000 MIPS,0.000 MIPS,
*thread disk_handler.disk_handler, *0.500 MIPS,*0.000 MIPS,
process disk_handler, 0.000 MIPS,0.500 MIPS,
*thread motor_handler.motor_cmd, *0.500 MIPS,*0.000 MIPS,
*thread motor_handler.motor_feedback, *0.500 MIPS,*0.000 MIPS,
process motor_handler, 0.000 MIPS,1.000 MIPS,
*thread mission_controler.navigation, *2.000 MIPS,*0.000 MIPS,
process mission_controler, 0.000 MIPS,2.000 MIPS,
*thread state_result_mixer.state_result_mixer, *1.000 MIPS,*0.000 MIPS,
process state_result_mixer, 0.000 MIPS,1.000 MIPS,
Total, 19.700 MIPS,


Detailed RAM Capacity Report

Component,Capacity
memory system_memory, 256.000 MByte,
memory media_memory, 512.000 MByte,
Total, 768.000 MByte,


Detailed RAM Budget Report

Component,Budget,Actual,Notes
data space_hoder, 0.000 KByte,0.000 KByte,
*thread battery_handler.battery, *0.000 KByte,*0.000 KByte,
process battery_handler, 500.000 KByte,0.000 KByte,
*thread GPS_handler.sensor_GPS, *0.000 KByte,*0.000 KByte,
process GPS_handler, 500.000 KByte,0.000 KByte,
*thread radar_handler.radar, *0.000 KByte,*0.000 KByte,
process radar_handler, 500.000 KByte,0.000 KByte,
*data mission_handler.mission_queue, *0.000 KByte,*0.000 KByte,
*thread mission_handler.receive, *0.000 KByte,*0.000 KByte,
*thread mission_handler.queue_management, *0.000 KByte,*0.000 KByte,
*thread mission_handler.forward, *0.000 KByte,*0.000 KByte,
process mission_handler, 3.000 MByte,0.000 KByte,
*thread mission_splitter.mission_splitter, *0.000 KByte,*0.000 KByte,
process mission_splitter, 20.000 MByte,0.000 KByte,
*thread mission_result_mixer.mission_result_mixer, *0.000 KByte,*0.000 KByte,
process mission_result_mixer, 20.000 MByte,0.000 KByte,
*thread door_handler.door_cmd, *0.000 KByte,*0.000 KByte,
*thread door_handler.door_feedback, *0.000 KByte,*0.000 KByte,
process door_handler, 500.000 KByte,0.000 KByte,
*thread weight_handler.weight, *0.000 KByte,*0.000 KByte,
process weight_handler, 500.000 KByte,0.000 KByte,
*thread media_handler.media, *0.000 KByte,*0.000 KByte,
process media_handler, 50.000 MByte,0.000 KByte,
*thread system_controller.decision, *0.000 KByte,*0.000 KByte,
*thread system_controller.result, *0.000 KByte,*0.000 KByte,
process system_controller, 10.000 MByte,0.000 KByte,
*thread mission_result_handler.mission_result_handler, *0.000 KByte,*0.000 KByte,
process mission_result_handler, 20.000 MByte,0.000 KByte,
*thread navigation.calculate, *0.000 KByte,*0.000 KByte,
*thread navigation.drive, *0.000 KByte,*0.000 KByte,
process navigation, 5.000 MByte,0.000 KByte,
*thread status_handler.state_result_handler, *0.000 KByte,*0.000 KByte,
process status_handler, 5.000 MByte,0.000 KByte,
*thread disk_handler.disk_handler, *0.000 KByte,*0.000 KByte,
process disk_handler, 2.000 MByte,0.000 KByte,
*thread motor_handler.motor_cmd, *0.000 KByte,*0.000 KByte,
*thread motor_handler.motor_feedback, *0.000 KByte,*0.000 KByte,
process motor_handler, 500.000 KByte,0.000 KByte,
*thread mission_controler.navigation, *0.000 KByte,*0.000 KByte,
process mission_controler, 10.000 MByte,0.000 KByte,
*thread state_result_mixer.state_result_mixer, *0.000 KByte,*0.000 KByte,
process state_result_mixer, 20.000 MByte,0.000 KByte,
Total, 168.000 MByte,


Detailed ROM Capacity Report

Component,Capacity
memory system_memory, 0.000 KByte,
memory media_memory, 0.000 KByte,
Total, 0.000 KByte,


Detailed ROM Budget Report

Component,Budget,Actual,Notes
data space_hoder, 0.000 KByte,0.000 KByte,
*thread battery_handler.battery, *0.000 KByte,*0.000 KByte,
process battery_handler, 0.000 KByte,0.000 KByte,
*thread GPS_handler.sensor_GPS, *0.000 KByte,*0.000 KByte,
process GPS_handler, 0.000 KByte,0.000 KByte,
*thread radar_handler.radar, *0.000 KByte,*0.000 KByte,
process radar_handler, 0.000 KByte,0.000 KByte,
*data mission_handler.mission_queue, *0.000 KByte,*0.000 KByte,
*thread mission_handler.receive, *0.000 KByte,*0.000 KByte,
*thread mission_handler.queue_management, *0.000 KByte,*0.000 KByte,
*thread mission_handler.forward, *0.000 KByte,*0.000 KByte,
process mission_handler, 0.000 KByte,0.000 KByte,
*thread mission_splitter.mission_splitter, *0.000 KByte,*0.000 KByte,
process mission_splitter, 0.000 KByte,0.000 KByte,
*thread mission_result_mixer.mission_result_mixer, *0.000 KByte,*0.000 KByte,
process mission_result_mixer, 0.000 KByte,0.000 KByte,
*thread door_handler.door_cmd, *0.000 KByte,*0.000 KByte,
*thread door_handler.door_feedback, *0.000 KByte,*0.000 KByte,
process door_handler, 0.000 KByte,0.000 KByte,
*thread weight_handler.weight, *0.000 KByte,*0.000 KByte,
process weight_handler, 0.000 KByte,0.000 KByte,
*thread media_handler.media, *0.000 KByte,*0.000 KByte,
process media_handler, 0.000 KByte,0.000 KByte,
*thread system_controller.decision, *0.000 KByte,*0.000 KByte,
*thread system_controller.result, *0.000 KByte,*0.000 KByte,
process system_controller, 0.000 KByte,0.000 KByte,
*thread mission_result_handler.mission_result_handler, *0.000 KByte,*0.000 KByte,
process mission_result_handler, 0.000 KByte,0.000 KByte,
*thread navigation.calculate, *0.000 KByte,*0.000 KByte,
*thread navigation.drive, *0.000 KByte,*0.000 KByte,
process navigation, 0.000 KByte,0.000 KByte,
*thread status_handler.state_result_handler, *0.000 KByte,*0.000 KByte,
process status_handler, 0.000 KByte,0.000 KByte,
*thread disk_handler.disk_handler, *0.000 KByte,*0.000 KByte,
process disk_handler, 0.000 KByte,0.000 KByte,
*thread motor_handler.motor_cmd, *0.000 KByte,*0.000 KByte,
*thread motor_handler.motor_feedback, *0.000 KByte,*0.000 KByte,
process motor_handler, 0.000 KByte,0.000 KByte,
*thread mission_controler.navigation, *0.000 KByte,*0.000 KByte,
process mission_controler, 0.000 KByte,0.000 KByte,
*thread state_result_mixer.state_result_mixer, *0.000 KByte,*0.000 KByte,
process state_result_mixer, 0.000 KByte,0.000 KByte,
Total, 0.000 KByte,
