Resource Budget Analysis Report

Summary

 in SystemMode default: MIPS capacity 60.000 MIPS : MIPS budget 27.200 MIPS
 in SystemMode default: 2 out of 2 with MIPS capacity
* In SystemMode default: 40 out of 41 with MIPS budget
Summary

 in SystemMode default: RAM capacity 768.000 MByte : RAM budget 120.500 MByte
 in SystemMode default: 2 out of 2 with RAM capacity
* In SystemMode default: 16 out of 41 with RAM budget
Summary

 in SystemMode default: ROM capacity 0.000 KByte : ROM budget 0.000 KByte
* In SystemMode default: 0 out of 2 with ROM capacity
* In SystemMode default: 0 out of 41 with ROM budget


Detailed Processor MIPS Capacity Report

Component,Capacity
processor CPU, 30.000 MIPS,
processor encoder, 30.000 MIPS,
Total, 60.000 MIPS,


Detailed MIPS Budget Report

Component,Budget,Actual,Notes
*thread mission_controller.identification, *2.000 MIPS,*0.000 MIPS,
*thread mission_controller.navigation, *2.000 MIPS,*0.000 MIPS,
*thread mission_controller.operation, *2.000 MIPS,*0.000 MIPS,
process mission_controller, 0.000 MIPS,6.000 MIPS,
*thread battery_handler.battery, *0.100 MIPS,*0.000 MIPS,
process battery_handler, 0.000 MIPS,0.100 MIPS,
*thread media_handler.media, *5.000 MIPS,*0.000 MIPS,
process media_handler, 0.000 MIPS,5.000 MIPS,
*thread GPS_handler.sensor_GPS, *0.100 MIPS,*0.000 MIPS,
process GPS_handler, 0.000 MIPS,0.100 MIPS,
*thread navigation.calculate, *1.000 MIPS,*0.000 MIPS,
*thread navigation.drive, *1.000 MIPS,*0.000 MIPS,
process navigation, 0.000 MIPS,2.000 MIPS,
*thread motor_handler.motor_cmd, *0.500 MIPS,*0.000 MIPS,
*thread motor_handler.motor_feedback, *0.500 MIPS,*0.000 MIPS,
process motor_handler, 0.000 MIPS,1.000 MIPS,
*thread arm_handler.arm_cmd, *0.500 MIPS,*0.000 MIPS,
*thread arm_handler.arm_feedback, *0.500 MIPS,*0.000 MIPS,
process arm_handler, 0.000 MIPS,1.000 MIPS,
*thread mission_result_handler.mission_result_handler, *1.000 MIPS,*0.000 MIPS,
process mission_result_handler, 0.000 MIPS,1.000 MIPS,
*thread target_identification.target_identification, *5.000 MIPS,*0.000 MIPS,
process target_identification, 0.000 MIPS,5.000 MIPS,
*thread radar_handler.radar, *0.100 MIPS,*0.000 MIPS,
process radar_handler, 0.000 MIPS,0.100 MIPS,
*data mission_handler.mission_queue, *0.000 MIPS,*0.000 MIPS,
*thread mission_handler.receive, *0.100 MIPS,*0.000 MIPS,
*thread mission_handler.queue_management, *0.500 MIPS,*0.000 MIPS,
*thread mission_handler.forward, *0.200 MIPS,*0.000 MIPS,
process mission_handler, 0.000 MIPS,0.800 MIPS,
*thread target_operation.target_operation, *0.500 MIPS,*0.000 MIPS,
